state,prob,load
c,4.5456357720018354e-05,10.0
c,6.745390876441298e-06,10.0
c,5.396312700196859e-07,10.0
c,0.0357817243548752,10.0
c,0.011331426997162617,10.0
c,0.002960148303299496,10.0
c,0.0006466401218174732,10.0
c,0.00011736444748058558,10.0
c,1.7240967523701745e-05,10.0
c,1.9414976392337358e-06,10.0
c,1.5006139137893615e-07,10.0
c,6.0024556783333516e-09,10.0
c,0.010089071425735664,10.0
c,0.0020360498418720667,10.0
c,0.00033185622459059455,10.0
c,4.3688368926072044e-05,10.0
c,4.543156476011917e-06,10.0
c,3.543813531098339e-07,10.0
c,1.860089836151768e-08,10.0
c,4.960239389367738e-10,10.0
c,0.002688168579944205,10.0
c,0.0003588933628256878,10.0
c,3.775180987735001e-05,10.0
c,3.0757237495619705e-06,10.0
c,1.8488723150036912e-07,10.0
c,7.3718804394218296e-09,10.0
c,1.4743763328273207e-10,10.0
c,0.0006495061228063911,10.0
c,5.776197561201124e-05,10.0
c,3.906094708022376e-06,10.0
c,1.9209790753926814e-07,10.0
c,6.1914366342175065e-09,10.0
c,9.906298437806216e-11,10.0
c,0.00013598634579160135,10.0
c,7.91521018884446e-06,10.0
c,3.306840124055188e-07,10.0
c,8.960412127556605e-09,10.0
c,1.1947214398344563e-10,10.0
c,2.3106221558894663e-05,10.0
c,8.393258464469214e-07,10.0
c,1.9623295832021936e-08,10.0
c,2.2426622711679833e-10,10.0
c,2.835078801687041e-06,10.0
c,5.8009985788066987e-08,10.0
c,5.800998448962646e-10,10.0
c,1.8885096344720131e-07,10.0
c,1.678675243949046e-09,10.0
t,0.2526562248694131,11.25
t,0.1189834547350142,11.25
t,0.052557108840006445,11.25
t,0.02150063543454804,11.25
t,0.008007133196314561,11.25
t,0.002649419072310047,11.25
t,0.0007510164299461691,11.25
t,0.00017184274244555486,11.25
t,2.8377700587452204e-05,11.25
t,2.553993052850645e-06,11.25
t,0.04645877908074935,11.25
c,0.03920930832846097,11.25
c,0.022645228848839884,11.25
c,0.010634382591465489,11.25
c,0.004254364473602567,11.25
c,0.0014589948930247565,11.25
c,0.0004204821363273867,11.25
c,9.685593914058677e-05,11.25
c,1.6025927942395907e-05,11.25
c,1.4423335148172622e-06,11.25
c,0.04204519506807815,11.25
c,0.014904199634772977,11.25
c,0.004340510513558501,11.25
c,0.0010552275080438558,11.25
c,0.00021313094366617186,11.25
c,3.4884520696221166e-05,11.25
c,4.387075823350864e-06,11.25
c,3.799156886689914e-07,11.25
c,1.7096205999489467e-08,11.25
c,0.013053530965442098,11.25
c,0.002975168196812322,11.25
c,0.0005450836448438363,11.25
c,8.047723912857699e-05,11.25
c,9.37888281076632e-06,11.25
c,8.202407534799866e-07,11.25
c,4.8334902327112905e-08,11.25
c,1.4500470737338622e-09,11.25
c,0.003812324844635326,11.25
c,0.0005770927271217391,11.25
c,6.84869371081441e-05,11.25
c,6.2789708230384655e-06,11.25
c,4.242851762044364e-07,11.25
c,1.9016809290478554e-08,11.25
c,4.2787813916977946e-10,11.25
c,0.0010092914249454814,11.25
c,0.00010188144391783463,11.25
c,7.782263717316662e-06,11.25
c,4.311816111171596e-07,11.25
c,1.5637982915539528e-08,11.25
c,2.8148367317570866e-10,11.25
c,0.00023203738343632874,11.25
c,1.531723302904131e-05,11.25
c,7.225349966362773e-07,11.25
c,2.2051590317651026e-08,11.25
c,3.3077381111912274e-10,11.25
c,4.346559891162116e-05,11.25
c,1.786513293510275e-06,11.25
c,4.708762307154002e-08,11.25
c,6.054122966836495e-10,11.25
c,5.912027812603193e-06,11.25
c,1.36431717629934e-07,11.25
c,1.5348567902750965e-09,11.25
c,4.3963988642301e-07,11.25
c,4.3963988560769e-09,11.25
t,0.24032327329781059,12.5
t,0.12016163664890514,12.5
t,0.05654665254066145,12.5
t,0.02473916048653932,12.5
t,0.009895664194615642,12.5
t,0.0035341657837915097,12.5
t,0.0010874356257823264,12.5
t,0.0002718589064456822,12.5
t,4.942889208108675e-05,12.5
t,4.942889208041368e-06,12.5
t,0.050236123159717844,12.5
c,0.04589318615940694,12.5
c,0.028651146928049622,12.5
c,0.014538273449350308,12.5
c,0.006289823013770549,12.5
c,0.0023379579924594253,12.5
c,0.0007330558476369743,12.5
c,0.00018468465259416107,12.5
c,3.365651996368145e-05,12.5
c,3.3656519964619935e-06,12.5
c,0.04772431700173188,12.5
c,0.018697612121593283,12.5
c,0.005996200425079456,12.5
c,0.0016027173346628409,12.5
c,0.00035588522552289226,12.5
c,6.411484127900446e-05,12.5
c,8.89470247216785e-06,12.5
c,8.524144109386955e-07,12.5
c,4.262072060209898e-08,12.5
c,0.01614342937871278,12.5
c,0.00410136637563884,12.5
c,0.0008339308733637581,12.5
c,0.00013635769386981939,12.5
c,1.7588624641108608e-05,12.5
c,1.7033482441830908e-06,12.5
c,1.1129768501434711e-07,12.5
c,3.709922811664934e-09,12.5
c,0.005113313691336926,12.5
c,0.0008661295968001616,12.5
c,0.00011448455784739825,12.5
c,1.1662680618858973e-05,12.5
c,8.748459419116728e-07,12.5
c,4.353174722429576e-08,12.5
c,1.0882936930106668e-09,12.5
c,0.0014671511543527544,12.5
c,0.00016591899415976594,12.5
c,1.413345122572296e-05,12.5
c,8.711407043851538e-07,12.5
c,3.510975403464567e-08,12.5
c,7.021951041463748e-10,12.5
c,0.0003662012621148264,12.5
c,2.7064498547692967e-05,12.5
c,1.4232823053548366e-06,12.5
c,4.831604920665922e-08,12.5
c,8.052674915770552e-10,12.5
c,7.474237201658684e-05,12.5
c,3.4322622863933866e-06,12.5
c,1.0071438994938009e-07,12.5
c,1.438777041951056e-09,12.5
c,1.113446958522779e-05,12.5
c,2.861971072284919e-07,12.5
c,3.577463835585659e-09,12.5
c,9.130265059796583e-07,12.5
c,1.014473893085066e-08,12.5
t,0.2263443824733627,13.75
t,0.11919198864288774,13.75
t,0.05925929378855428,13.75
t,0.02748774470914847,13.75
t,0.011704459037444104,13.75
t,0.004470453104579525,13.75
t,0.0014789468917406207,13.75
t,0.00040004301170033785,13.75
t,7.928780412071873e-05,13.75
t,8.721658453454684e-06,13.75
t,0.05296699034876054,13.75
c,0.051921959656980696,13.75
c,0.03473865249347472,13.75
c,0.018882867235441008,13.75
c,0.008757386868813003,13.75
c,0.003496363084569014,13.75
c,0.0011815514421717624,13.75
c,0.00032244558923143207,13.75
c,6.408015314675504e-05,13.75
c,7.04881684625118e-06,13.75
c,0.05270215539701683,13.75
c,0.02258798185492533,13.75
c,0.007898045207653647,13.75
c,0.002298398595428199,13.75
c,0.0005556286356345726,13.75
c,0.00010910003196607041,13.75
c,1.6531830438997266e-05,13.75
c,1.7358214727605792e-06,13.75
c,9.547018101074833e-08,13.75
c,0.019261420420459814,13.75
c,0.005396937662922773,13.75
c,0.00120535140802208,13.75
c,0.00021606886043013668,13.75
c,3.0538214487594445e-05,13.75
c,3.242158267290421e-06,13.75
c,2.3255100858529665e-07,13.75
c,8.526870319200408e-09,13.75
c,0.006561235760136045,13.75
c,0.001230374530635854,13.75
c,0.00017925466023732683,13.75
c,2.0083401366922937e-05,13.75
c,1.6554889135968198e-06,13.75
c,9.053470990949553e-08,13.75
c,2.489704501590362e-09,13.75
c,0.0020227025471953363,13.75
c,0.00025355770254063305,13.75
c,2.3836939920744704e-05,13.75
c,1.6178154828710989e-06,13.75
c,7.172815291722756e-08,13.75
c,1.5780193783621055e-09,13.75
c,0.0005431971579642775,13.75
c,4.447791681058688e-05,13.75
c,2.580916776583758e-06,13.75
c,9.646777444222154e-08,13.75
c,1.7685758725571876e-09,13.75
c,0.00011967019476822119,13.75
c,6.076923415296309e-06,13.75
c,1.9651282907179324e-07,13.75
c,3.0880587184589636e-09,13.75
c,1.9336740839884237e-05,13.75
c,5.480278480393674e-07,13.75
c,7.535382868031903e-09,13.75
c,1.7311169374246288e-06,13.75
c,2.1158095900308815e-08,13.75
t,0.21152704655687662,15.0
t,0.11655571953134009,15.0
t,0.06081167975548189,15.0
t,0.029698727322444635,15.0
t,0.01336442729510015,15.0
t,0.0054180110655809716,15.0
t,0.0019122391996167706,15.0
t,0.0005551662192435636,15.0
t,0.00011896418983789805,15.0
t,1.427570278064727e-05,15.0
t,0.05473130300091829,15.0
c,0.05716218774916874,15.0
c,0.040701133556818335,15.0
c,0.023534537186506124,15.0
c,0.011616993602345378,15.0
c,0.004945160073089058,15.0
c,0.0017874340318142262,15.0
c,0.0005241986346806648,15.0
c,0.0001126781032644783,15.0
c,1.35213723917154e-05,15.0
c,0.05692055512095494,15.0
c,0.026464040373689553,15.0
c,0.010007192752671793,15.0
c,0.00314522588653169,15.0
c,0.000821161494734122,15.0
c,0.00017432037338226732,15.0
c,2.8616724092205004e-05,15.0
c,3.2650277754647794e-06,15.0
c,1.9590166644954665e-07,15.0
c,0.02232400994857553,15.0
c,0.006838047248387099,15.0
c,0.0016632567911226731,15.0
c,0.0003241361743528976,15.0
c,4.97816583405232e-05,15.0
c,5.74618790323729e-06,15.0
c,4.487091829572659e-07,15.0
c,1.7948367342715543e-08,15.0
c,0.00812273342339474,15.0
c,0.0016713418517991059,15.0
c,0.0002660826073007296,15.0
c,3.250995301859634e-05,15.0
c,2.9202520837254275e-06,15.0
c,1.740629509625058e-07,15.0
c,5.221888511874884e-09,15.0
c,0.002671576172195527,15.0
c,0.00036796089068630647,15.0
c,3.7848993925525265e-05,15.0
c,2.804748731297796e-06,15.0
c,1.3565714966634612e-07,15.0
c,3.2557715724801373e-09,15.0
c,0.00076627590427082,15.0
c,6.891332960724458e-05,15.0
c,4.3748966518930565e-06,15.0
c,1.7854092316388348e-07,15.0
c,3.5708184534244403e-09,15.0
c,0.0001808278040348471,15.0
c,1.0068048893134562e-05,15.0
c,3.5579377846012283e-07,15.0
c,6.099321873953567e-09,15.0
c,3.1440972971554654e-05,15.0
c,9.743330667971728e-07,15.0
c,1.4614995946099496e-08,15.0
c,3.047924909162225e-06,15.0
c,4.063899870093701e-08,15.0
t,0.19646495367929906,16.25
t,0.11267842931606842,16.25
t,0.0613536997323096,16.25
t,0.03136621727887756,16.25
t,0.014827666350014868,16.25
t,0.006340778373361555,16.25
t,0.0023720897511856284,16.25
t,0.0007342182563193494,16.25
t,0.00016893517402027936,16.25
t,2.1961572622637704e-05,16.25
t,0.055637425602762774,16.25
c,0.06154814088594873,16.25
c,0.04637090828851706,16.25
c,0.02835845245428846,16.25
c,0.014811386725461883,16.25
c,0.006681637470592967,16.25
c,0.0025667886245866896,16.25
c,0.0008036075670590703,16.25
c,0.00018556224384429654,16.25
c,2.4123091699725964e-05,16.25
c,0.060366606778997724,16.25
